anon_screen_name,resource_display_name,module_id,activity_grade_id,first_submit,last_submit,module_type,Module,Week ,Act,Finalgrade,FinalScore
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43005924,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-7 ,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Monopolistic Competition,i4x://HumanitiesSciences/Econ-1/problem/595a204050544e69a41f90296e540686,43005937,4/03/2015 20:05,4/03/2015 20:05,problem,Deviations from Competition,Week-3,P-20,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43005922,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-5 ,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Are Competitive Markets Efficient?,i4x://HumanitiesSciences/Econ-1/problem/512c30e072234487bf280f68be30685b,43005708,4/03/2015 20:02,4/03/2015 20:02,problem,The Competitive Equilibrium Model,Week-2,P-13 ,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43005919,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-4,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43005923,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-8 ,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Derivation of the Demand Curve,i4x://HumanitiesSciences/Econ-1/problem/ecf5450bd8624179a0ea947bfb5dd5ba,43005926,4/03/2015 20:05,4/03/2015 20:05,problem,The Competitive Equilibrium Model,Week-2,P-9,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Marginal Benefit and Consumer Surplus,i4x://HumanitiesSciences/Econ-1/problem/7a3923ff162540e387e4ab4d9858a6ab,43005925,4/03/2015 20:05,4/03/2015 20:05,problem,The Competitive Equilibrium Model,Week-2,P-10,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Marginal Product of Labor and Marginal Costs,i4x://HumanitiesSciences/Econ-1/problem/1344306f05e04b1e87b8aef76281f4a4,43005927,4/03/2015 20:05,4/03/2015 20:05,problem,The Competitive Equilibrium Model,Week-2,P-12,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: The Rise and Fall of Industries,i4x://HumanitiesSciences/Econ-1/problem/e52ef2d4d7a049538003ba0a3dfd5a9c,43005932,4/03/2015 20:05,4/03/2015 20:05,problem,Firms and Industries Changing Over Time,Week-2,P-17 ,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz on 10A,i4x://HumanitiesSciences/Econ-1/problem/d5bfed1c06c8437ca19a85de09dd60c3,43005935,4/03/2015 20:05,4/03/2015 20:05,problem,Deviations from Competition,Week-3,P-18 ,0,Fail
77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Oligopoly,i4x://HumanitiesSciences/Econ-1/problem/670af55aa360406fbd040edfcfd0e00e,43005936,4/03/2015 20:05,4/03/2015 20:05,problem,Deviations from Competition,Week-3,P-21 ,0,Fail
